Time (seconds),light
1.18,59
1.48,63
1.76,66
2.03,69
2.31,69
2.6,72
2.88,78
3.16,83
3.44,82
3.71,90
4,91
4.26,96
4.62,81
4.95,88
5.27,87
5.53,47
5.85,50
6.14,67
6.45,97
6.74,92
7,92
7.28,88
7.56,81
7.85,80
8.13,81
8.43,85
8.73,82
9,78
9.27,89
9.55,81
9.89,88
10.19,75
10.54,82
10.81,83
11.09,84
11.37,83
11.68,80
12,81
12.35,89
12.63,93
12.92,99
13.2,103
13.58,101
13.9,106
14.21,102
14.53,102
14.87,107
15.14,106
15.45,104
15.78,105
16.07,107
16.34,106
16.61,108
16.89,102
17.11,94
17.63,95
17.9,104
18.25,105
18.56,108
18.88,106
19.2,105
19.51,99
19.82,101
20.14,101
20.46,98
20.76,95
21.1,93
21.4,96
21.68,98
21.97,99
22.29,98
22.57,97
22.85,96
23.15,95
23.51,93
23.83,99
24.12,99
24.37,98
24.64,98
24.95,95
25.23,97
25.53,97
25.8,95
26.08,96
26.38,96
26.67,93
26.95,73
27.29,51
27.65,45
27.98,50
28.29,13
28.62,41
28.95,79
29.24,111
29.52,125
29.85,128
30.15,119
30.44,112
30.73,117
31.01,118
31.29,116
31.58,113
31.87,114
32.17,110
32.48,109
32.78,109
33.04,110
33.33,94
33.63,89
33.95,95
34.25,94
34.55,105
34.83,111
35.12,109
35.39,110
35.66,116
35.94,117
36.22,119
36.49,108
36.79,73
37.12,123
37.44,79
37.72,132
38.37,136
38.76,138
39.12,144
39.56,142
40.25,143
41.25,145
41.69,146
42.31,141
42.62,146
42.92,145
43.21,129
